	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	fdr_p
Xyloglucan_Utilization	0	0	0	0	0	0	0	26350	0	29519	0	0	0	0	0	33186	28434	28386	0	0	28893	29720	29033	0	25113	22828	0	0	0	0	0	9382.06666666667	13586.6895461326	990.87512117861	5.41889326483e-26	4.10752109474114e-23	4.10752109474114e-23
Conjugative_transposon,_Bacteroidales	4785	1473	6439	3236	6116	6704	10593	164969	8085	168622	8747	22299	20730	1166	17858	187829	177440	208953	5280	5790	178117	193313	152295	2819	157822	152293	9831	9486	4361	9618	9724.5	63568.9666666667	80357.4484303741	688.007576963906	6.88761607697838e-24	5.22081298634961e-21	2.61040649317481e-21
Lipopolysaccharide_assembly_cluster	25069	26629	25705	22609	25627	28753	0	0	23665	0	0	0	4654	0	3584	0	0	0	25928	23438	0	0	0	0	0	0	8122	1878	21271	7300	939	9141.06666666667	11563.2513711008	376.456057053578	1.9089489886873e-20	1.44698333342497e-17	4.82327777808323e-18
Fatty_Acid_Biosynthesis_FASII	127719	131451	126035	117528	133954	151142	69271	0	133594	0	58503	95988	116695	55125	64133	0	0	0	144844	127834	0	0	0	73161	0	0	65883	56152	124099	65727	65805	67961.2666666667	56156.9372224153	272.333345166828	1.26468344337264e-18	9.5863005007646e-16	2.08639203675488e-16
L-fucose_utilization	7029	6554	6316	8604	9957	10889	5446	55562	8547	60105	8477	15372	24361	4374	22751	66775	64038	57407	9040	7163	58852	55690	61673	21324	54304	50940	5913	10247	5573	6271	10568	26318.4666666667	23817.3214521286	270.549004186964	1.37624804535282e-18	1.04319601837744e-15	2.08639203675488e-16
CBSS-257314.1.peg.752	30620	29643	26490	28286	26428	31274	0	0	22955	0	0	0	0	0	0	0	0	0	28724	22679	0	0	0	0	0	0	0	0	25886	14507	0	9583.06666666667	13112.815907725	237.344365586246	7.37135188815645e-18	5.58748473122259e-15	9.31247455203765e-16
CBSS-56780.10.peg.1536	30737	30083	26729	27128	27439	28220	9431	0	24070	0	9835	13672	16098	14707	16882	0	0	0	30842	28857	0	0	0	23215	0	0	15011	6548	26479	14725	14716	14023.6	11992.8258313331	226.481464285014	1.34000660561426e-17	1.01572500705561e-14	1.45103572436516e-15
CBSS-296591.1.peg.2330	49572	43705	42716	44549	43495	51039	25270	0	46855	0	21620	34829	41511	29818	23164	0	0	0	50536	48871	0	0	0	31402	0	0	38400	16348	41781	37796	30610	25442.5666666667	20138.7410004104	205.864104442998	4.50578814585e-17	3.4153874145543e-14	4.26923426819288e-15
Cluster_with_phosphopentomutase_paralog	6253	5709	5885	6622	6289	6042	4397	2	6302	0	4206	6845	4620	4519	4160	2	814	0	6692	7293	0	21	6	3095	14	0	5075	3569	4709	5020	4458	3605.36666666667	2710.26234235135	192.615309223617	1.04476230944788e-16	7.9192983056149e-14	8.79922033957211e-15
CBSS-262719.3.peg.410	39834	43705	42591	38681	43699	40033	28643	0	39333	0	29904	47006	35768	19552	29242	0	0	0	49732	40537	0	0	0	24721	0	0	27053	24984	33102	27026	27848	23504.8666666667	18234.9356470094	181.622493669188	2.18955982897348e-16	1.6596863503619e-13	1.6596863503619e-14
cAMP_signaling_in_bacteria	25300	25924	24301	23973	30854	30606	13970	0	21696	0	15454	21461	26539	13150	13930	0	0	0	26597	24987	0	0	0	19313	0	0	16518	12534	20742	16709	15986	14151.9333333333	11201.0471983752	168.687228185147	5.52731022016748e-16	4.18970114688695e-13	3.80881922444268e-14
Nucleoside_Catabolism_cluster	51472	49336	54935	47774	61517	51976	16569	0	43747	0	15120	37355	46026	22569	24670	0	0	0	57093	44917	0	0	0	23835	0	0	28369	22320	42207	24959	24252.5	25558.8666666667	21871.9756715006	154.108636175245	1.70413728766996e-15	1.29173606405383e-12	1.07644672004486e-13
YrdC-YciO-Sua5_protein_family	79457	81059	68872	63825	78061	87653	46634	0	70743	0	39239	59503	90938	41905	63406	0	0	0	80313	67080	0	0	0	54147	0	0	46235	39101	77565	45481	46434.5	42707.2333333333	33579.1334679875	147.580803347913	2.91349818543429e-15	2.20843162455919e-12	1.69879355735323e-13
Macromolecular_synthesis_operon	126443	115025	113999	112210	96064	124813	96021	0	117779	0	95466	133242	160506	76945	99842	0	0	0	118031	114264	0	0	0	111464	0	0	72058	71490	109717	71805	95743.5	71239.4666666667	54418.2937893786	123.199675425985	2.67082140884505e-14	2.02448262790455e-11	1.44605901993182e-12
Rhamnose_containing_glycans	69230	59651	56815	60243	59229	72953	43781	0	60327	0	35782	48436	82313	40639	32295	0	0	0	82799	68261	0	0	0	46253	0	0	45566	29028	60115	45046	44413.5	36625.4	29163.4393856417	117.918323508235	4.54622492952865e-14	3.44603849658272e-11	2.23170212537589e-12
Cellulosome	4968	3651	1337	2346	2479	4206	5245	65831	5435	58406	4286	7371	9409	1807	4961	80523	63632	59239	4330	1941	89899	29871	76287	1129	95069	82548	5760	4627	4705	5646	5340	26231.4666666667	33341.6573132681	117.572779456836	4.71071688733697e-14	3.57072340060143e-11	2.23170212537589e-12
Iojap	155823	181729	166648	127505	176257	195764	93718	0	118596	0	76014	134238	171387	79897	82671	0	0	0	182405	141320	0	0	0	107122	0	0	90487	82100	129373	85999	88243	85968.4333333333	69981.617132365	115.8772298362	5.61597190812168e-14	4.25690670635623e-11	2.50406276844484e-12
Acetoin,_butanediol_metabolism	62705	58664	50324	48584	61241	67413	41807	0	53643	0	44243	65163	67463	34136	42512	0	0	0	78644	53862	0	0	0	39198	0	0	30847	35267	53223	35592	40502.5	34151.0333333333	26808.7578787017	114.873829380529	6.23839936675117e-14	4.72870671999739e-11	2.62705928888744e-12
Control_of_cell_elongation_-_division_cycle_in_Bacilli	25615	24216	21412	21578	24258	24114	13702	0	15046	0	17012	20284	26702	16833	14314	0	0	0	28865	16177	0	0	0	17954	0	0	13276	12037	21504	12656	14680	12918.5	10183.0040576409	107.497286128564	1.38686719588994e-13	1.05124533448458e-10	5.53287018149777e-12
Purine_conversions	200048	193279	178733	171311	191410	227444	145940	0	170225	0	121125	193838	247548	106190	138426	0	0	0	232848	191097	0	0	0	139697	0	0	96849	106341	169360	95641	129775.5	110578.333333333	87733.4629601984	104.499169428614	1.94598749057514e-13	1.47505851785596e-10	7.37529258927978e-12
Heat_shock_dnaK_gene_cluster_extended	179187	185011	178146	162154	182818	206703	108824	0	145681	0	92336	173921	217829	80179	109232	0	0	0	209112	158901	0	0	0	96366	0	0	93518	103624	160037	92588	99995	97872.2333333333	79378.5847562754	103.504228029931	2.18164897596419e-13	1.65368992378086e-10	7.87471392276599e-12
Fermentations:_Mixed_acid	167422	150931	143578	144881	151105	174639	0	0	146834	0	0	0	0	99331	71779	0	0	0	163606	147210	0	0	0	0	0	0	82605	0	140923	69651	0	61816.5	71356.1957094175	101.025718227121	2.91282940358415e-13	2.20792468791678e-10	1.00360213087126e-11
CBSS-393131.3.peg.612	33304	33416	30860	29696	31787	35928	22447	0	30471	0	25433	34502	45290	20731	27054	0	0	0	36209	31043	0	0	0	22951	0	0	16535	19289	28657	16146	22699	19058.3	14943.5688350403	99.2037227188906	3.61692367922299e-13	2.74162814885102e-10	1.13399528853805e-11
