	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	BH_p
Xyloglucan_Utilization	0	0	0	0	0	0	0	26350	0	29519	0	0	0	0	0	33186	28434	28386	0	0	28893	29720	29033	0	25113	22828	0	0	0	0	0	9382.06666666667	13586.6895461326	2055.14839948156	9.44833390808672e-28	7.16183710232973e-25	7.16183710232973e-25
Conjugative_transposon,_Bacteroidales	4785	1473	6439	3236	6116	6704	10593	164969	8085	168622	8747	22299	20730	1166	17858	187829	177440	208953	5280	5790	178117	193313	152295	2819	157822	152293	9831	9486	4361	9618	9724.5	63568.9666666667	80357.4484303741	1355.82143191111	2.90881588831947e-25	2.20488244334616e-22	1.10244122167308e-22
L-fucose_utilization	7029	6554	6316	8604	9957	10889	5446	55562	8547	60105	8477	15372	24361	4374	22751	66775	64038	57407	9040	7163	58852	55690	61673	21324	54304	50940	5913	10247	5573	6271	10568	26318.4666666667	23817.3214521286	493.953497851847	2.50615039407254e-19	1.89966199870699e-16	6.33220666235663e-17
Cellulosome	4968	3651	1337	2346	2479	4206	5245	65831	5435	58406	4286	7371	9409	1807	4961	80523	63632	59239	4330	1941	89899	29871	76287	1129	95069	82548	5760	4627	4705	5646	5340	26231.4666666667	33341.6573132681	242.955739759205	2.48972572478422e-15	1.88721209938644e-12	4.71803024846609e-13
Macromolecular_synthesis_operon	126443	115025	113999	112210	96064	124813	96021	0	117779	0	95466	133242	160506	76945	99842	0	0	0	118031	114264	0	0	0	111464	0	0	72058	71490	109717	71805	95743.5	71239.4666666667	54418.2937893786	218.545277501306	9.38607324108631e-15	7.11464351674342e-12	1.42292870334868e-12
Cluster_with_phosphopentomutase_paralog	6253	5709	5885	6622	6289	6042	4397	2	6302	0	4206	6845	4620	4519	4160	2	814	0	6692	7293	0	21	6	3095	14	0	5075	3569	4709	5020	4458	3605.36666666667	2710.26234235135	191.120670063899	4.92856235931744e-14	3.73585026836262e-11	6.22641711393769e-12
Sporulation-related_Hypotheticals	27241	25930	23881	25545	24393	28649	25353	0	24824	0	24626	37149	41756	17578	22491	0	0	0	29528	27220	0	0	0	18544	0	0	19268	20180	23482	19199	21335.5	16894.5666666667	13063.9962774329	179.466090424836	1.06337707774952e-13	8.06039824934137e-11	1.15148546419162e-11
Peptide_methionine_sulfoxide_reductase	34213	33847	29369	29257	31918	33590	23738	0	21802	0	30101	40014	48086	23315	23244	0	0	0	33816	27661	0	0	0	25721	0	0	21346	24389	27549	20812	23526.5	19459.6	15058.913787361	177.461774135198	1.2190411807178e-13	9.24033214984096e-11	1.15504151873012e-11
Universal_GTPases	394805	365459	329376	356852	355422	408469	319267	0	371116	0	313810	513560	593236	232845	318074	0	0	0	404566	374733	0	0	0	275539	0	0	275251	283880	332832	271492	298845	236352.8	183134.361781914	174.223425946179	1.5244748429673e-13	1.15555193096922e-10	1.2839465899658e-11
CBSS-262719.3.peg.410	39834	43705	42591	38681	43699	40033	28643	0	39333	0	29904	47006	35768	19552	29242	0	0	0	49732	40537	0	0	0	24721	0	0	27053	24984	33102	27026	27848	23504.8666666667	18234.9356470094	171.160602428789	1.88977214949789e-13	1.4324472893194e-10	1.4324472893194e-11
CBSS-257314.1.peg.488	47177	50411	45505	42500	49124	50140	40473	0	42307	0	43603	61903	77063	28668	40414	0	0	0	47696	45453	0	0	0	34341	0	0	32153	35511	40593	32282	37962.5	29577.2333333333	23034.1968381396	162.25550487854	3.59814450479022e-13	2.72739353463099e-10	2.47944866784635e-11
Entner-Doudoroff_Pathway	137945	131174	113657	122250	126775	152385	122611	0	137959	0	100519	180819	224616	83313	115004	0	0	0	142687	131374	0	0	0	107718	0	0	95741	102071	120256	94877	104894.5	84791.7	66295.4295388037	153.961830172881	6.73999206117161e-13	5.10891398236808e-10	3.49156201756038e-11
Arginine_Biosynthesis_extended	41008	46493	51734	46574	43536	53573	49084	0	46861	0	42544	71362	78947	28203	51117	0	0	0	56546	47715	0	0	0	46330	0	0	31665	39530	52127	30948	41776	31863.2333333333	24917.741276508	153.554669960693	6.95602897650348e-13	5.27266996418964e-10	3.49156201756038e-11
tRNA_aminoacylation,_Trp	22934	21106	18672	20088	19833	22861	19501	0	19822	0	21513	28809	37780	14568	19236	0	0	0	23914	20953	0	0	0	16515	0	0	15101	17028	19284	14797	17850	13810.5	10805.0045197776	152.657522574282	7.45868471053279e-13	5.65368301058385e-10	3.49156201756038e-11
Unknown_sugar_utilization_(cluster_yphABCDEFG)	0	0	8	0	0	0	0	3035	0	6115	0	0	0	0	0	6573	9361	3457	0	0	5831	4844	6531	0	8682	10203	0	0	0	0	0	2154.66666666667	3371.82827039834	152.11301984693	7.78263454956229e-13	5.89923698856822e-10	3.49156201756038e-11
De_Novo_Purine_Biosynthesis	244943	243195	218107	217778	214013	257422	207896	0	216165	0	182597	261966	387780	141213	210346	0	0	0	255548	225974	0	0	0	185674	0	0	142891	168359	210280	140449	184135.5	144419.866666667	113033.311039111	151.917150914667	7.90282585988948e-13	5.99034200179622e-10	3.49156201756038e-11
Branched-Chain_Amino_Acid_Biosynthesis	182340	184932	174618	166841	173095	201472	144759	0	181372	0	144357	229266	266759	110468	159234	0	0	0	203460	185925	0	0	0	145295	0	0	94101	126633	155596	98575	144558	110969.933333333	86853.5719055585	151.904344781288	7.91075307107709e-13	5.99635082787644e-10	3.49156201756038e-11
RuvABC_plus_a_hypothetical	34830	31925	29199	32112	35276	34877	28237	0	34144	0	29911	44374	48572	17110	25985	0	0	0	34916	34747	0	0	0	19919	0	0	21945	23288	29583	21678	24636.5	20420.9333333333	15987.9111743698	151.305229913443	8.29130822111964e-13	6.28481163160869e-10	3.49156201756038e-11
CBSS-320372.3.peg.6046	28483	32858	33129	27769	33185	30726	31389	0	30969	0	29397	44538	47972	17240	25528	0	0	0	29916	31096	0	0	0	23006	0	0	19926	23555	24612	19878	24083.5	19505.7333333333	15286.9648211696	149.352744302024	9.67391945031146e-13	7.33283094333609e-10	3.85938470701899e-11
CBSS-393131.3.peg.612	33304	33416	30860	29696	31787	35928	22447	0	30471	0	25433	34502	45290	20731	27054	0	0	0	36209	31043	0	0	0	22951	0	0	16535	19289	28657	16146	22699	19058.3	14943.5688350403	148.43790154511	1.04049931850335e-12	7.88698483425538e-10	3.9316753647517e-11
Serotype_determining_Capsular_polysaccharide_biosynthesis_in_Staphylococcus	69	61	58	0	57	36	192	3037	24	2248	547	329	744	0	483	3500	2811	3601	0	22	2683	2888	3784	401	6509	3243	0	333	101	24	331	1259.5	1702.72057662699	147.865339090073	1.08925043086789e-12	8.25651826597857e-10	3.9316753647517e-11
Acetoin,_butanediol_metabolism	62705	58664	50324	48584	61241	67413	41807	0	53643	0	44243	65163	67463	34136	42512	0	0	0	78644	53862	0	0	0	39198	0	0	30847	35267	53223	35592	40502.5	34151.0333333333	26808.7578787017	146.30133216709	1.23532776490291e-12	9.36378445796408e-10	4.25626566271094e-11
YrdC-YciO-Sua5_protein_family	79457	81059	68872	63825	78061	87653	46634	0	70743	0	39239	59503	90938	41905	63406	0	0	0	80313	67080	0	0	0	54147	0	0	46235	39101	77565	45481	46434.5	42707.2333333333	33579.1334679875	143.4380765834	1.56002506019555e-12	1.18249899562823e-09	5.14129998099229e-11
Nitric_oxide_synthase	6289	5830	5800	5269	6220	6361	5994	0	5302	549	6768	8244	11310	3564	7382	0	0	0	7002	5646	0	0	0	4508	0	0	6743	4572	4995	6685	5285.5	4167.76666666667	3234.75267597272	142.920476487558	1.62792619061155e-12	1.23396805248355e-09	5.1415335520148e-11
Conserved_gene_cluster_possibly_involved_in_RNA_metabolism	38654	37277	34438	37255	34231	39636	30665	0	36056	0	32568	48097	57409	24092	32412	0	0	0	43165	38463	0	0	0	26988	15527	0	25483	26877	32819	25388	28826.5	23916.6666666667	17603.6486330363	141.497659592812	1.83142809971634e-12	1.38822249958499e-09	5.55288999833995e-11
CBSS-243265.1.peg.198	35623	36221	33737	31585	33976	38668	24507	0	32639	0	27603	36531	50858	21988	30047	0	0	0	38240	33115	0	0	0	25933	0	0	17264	20765	30812	16877	25220	20566.3	16196.2005530671	140.700561508571	1.95721138674775e-12	1.48356623115479e-09	5.64265885835623e-11
CBSS-344610.3.peg.2335	14238	15875	15178	13911	14138	15896	12848	0	14157	0	14766	21817	22379	9260	13688	0	0	0	16692	15993	0	0	0	12214	0	0	7823	11443	12271	7767	12242.5	9411.8	7413.39178923451	140.360569510249	2.01365113828075e-12	1.52634756281681e-09	5.64265885835623e-11
Ribonucleotide_reduction	107411	90609	95652	92081	91633	103127	83953	0	86300	0	93189	137193	151288	60720	83179	0	47003	0	108435	99975	0	0	0	76801	0	0	75409	72881	87362	74231	79990	63947.7333333333	46692.2086839818	139.469475136151	2.17001691118221e-12	1.64487281867612e-09	5.64265885835623e-11
Spore_Coat	6505	5949	5893	5272	6290	6429	6027	0	5303	666	6768	8344	11476	3619	7455	0	0	0	7734	5660	0	0	0	4560	0	0	6932	4661	5141	6875	5287.5	4251.96666666667	3298.66538825601	139.354794379193	2.19106712413428e-12	1.66082888009379e-09	5.64265885835623e-11
Control_of_cell_elongation_-_division_cycle_in_Bacilli	25615	24216	21412	21578	24258	24114	13702	0	15046	0	17012	20284	26702	16833	14314	0	0	0	28865	16177	0	0	0	17954	0	0	13276	12037	21504	12656	14680	12918.5	10183.0040576409	139.12853652147	2.23324229222542e-12	1.69279765750687e-09	5.64265885835623e-11
CBSS-312309.3.peg.1965	59559	64240	60154	55387	60336	69131	59759	0	56199	0	44865	64292	104307	36970	55345	0	0	0	68885	59329	0	0	0	54231	0	0	32219	36736	50924	47306	49115	38005.8	29975.252927983	138.181646712864	2.41942049665112e-12	1.83392073646155e-09	5.82662988542102e-11
Stringent_Response,_(p)ppGpp_metabolism	45744	45501	42287	40148	42450	49998	41248	0	42730	0	40970	58445	79644	27965	41206	0	0	0	45801	43758	0	0	0	37189	0	0	27829	35794	38516	27558	37852.5	28492.7	22474.9267378653	137.986633772141	2.45979098065267e-12	1.86452156333473e-09	5.82662988542102e-11
Cluster_Ytf_and_putative_sugar_transporter	32220	35959	34606	27758	33584	35949	26592	0	25746	0	29540	38379	55533	21104	31114	0	6361	0	32198	29088	0	0	0	27541	0	0	20979	23707	26827	20619	26169	20513.4666666667	15687.7874195038	137.094762508667	2.65384369006007e-12	2.01161351706553e-09	5.91651034431039e-11
Putative_sugar_ABC_transporter_(ytf_cluster)	32220	35959	34606	27758	33584	35949	26592	0	25746	0	29540	38379	55533	21104	31114	0	6361	0	32198	29088	0	0	0	27541	0	0	20979	23707	26827	20619	26169	20513.4666666667	15687.7874195038	137.094762508667	2.65384369006007e-12	2.01161351706553e-09	5.91651034431039e-11
