	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
(GlcNAc)2_Catabolic_Operon	0	0	0	0	0	0	0	0	0	0.121913816145186	0	0	0	0	0	1.0048276624352e-05	0	0	0	0	0	0	5.02413831217601e-05	0	0.112672180961338	3.92844857388231e-05	0	0	0	0
2-Ketogluconate_Utilization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0048276624352e-05	0.0188922566056195	0	0	0	0	0	5.02413831217601e-05	0	0	3.92844857388231e-05	0	0	0	0
2-phosphoglycolate_salvage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0048276624352e-05	0.0224469948063237	0	0	0	0	0	5.02413831217601e-05	0	0	3.92844857388231e-05	0	0	0	0
4-Hydroxyphenylacetic_acid_catabolic_pathway	0	0	0.00354821751055443	0.000742824194283215	0	0	0	0	0	0	0	0	0	0.00691075569667802	0	1.0048276624352e-05	0.0693505328472818	0	0.000887669032857651	0.00568839353498158	0	0	5.02413831217601e-05	0	0	0.19818536675889	0	0.000622993150709825	0	0
5-FCL-like_protein	0.501363251827557	0.501363251827557	0.501363251827557	0.433996505337666	0.480087736420449	0.501363251827557	0.536549537255482	0	0.562591249575888	0	0.455269455227338	0	0	0.480087736420449	0.480087736420449	1.0048276624352e-05	0	0	0.455269455227338	0.480087736420449	0	0	5.02413831217601e-05	0.670760306057678	0	3.92844857388231e-05	0.455269455227338	0.501363251827557	0.480087736420449	0.455269455227338
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	0.0123684664555388	0.0163691771038686	0.019428770439424	0.00643870048845314	0.0101187214572823	0.0160295667332775	0.00331347266516	0.113608915515159	0.0299409781334535	0.103102052649121	0.0058226556141325	0.0134270630875703	0.00760162816288214	0.0116952319217072	0.00393550374683132	0.129719296047671	0.025608139873721	0	0.0116952319217072	0.0165829702235357	0.0897599188783387	0.078231285245132	5.02413831217601e-05	0.0114936250098612	0	3.92844857388231e-05	0.00546145213845499	0.00620085564282353	0.00310032092485193	0.00628562461477152
A_Gammaproteobacteria_Cluster_Relating_to_Translation	0.113608915515159	0.104488073443923	0.103102052649121	0.0967445935461416	0.103102052649121	0.107375563318146	0.119135467658553	0.263693075176716	0.145321276541614	0.25780874024756	0.13332235149342	0.13332235149342	0.108707494453672	0.119135467658553	0.095892200378029	1.0048276624352e-05	0.168385705877536	0.214180192110221	0.0990089833730953	0.101970124977044	0	0	5.02413831217601e-05	0.110462522173019	0	3.92844857388231e-05	0.125124347423226	0.116243915715056	0.0901265206302878	0.121913816145186
A_Glutathione-dependent_Thiol_Reductase_Associated_with_a_Step_in_Lysine_Biosynthesis	0	0	0	0	0	0	0	0	0	0.095892200378029	0	0	0	0	0	1.0048276624352e-05	0.0177228616893205	0	0	0	0	0.0697300156346908	5.02413831217601e-05	0	0	3.92844857388231e-05	0	0	0	0
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	0	0	0.13332235149342	0	0.127325454486759	0	0.0327458369669256	0	0	0	0.00257545881606929	0.0437321309038168	0	0	0	1.0048276624352e-05	0	0	0	0	0	0	5.02413831217601e-05	0	0	3.92844857388231e-05	0	0.0336208922057229	0.117922726187241	0
A_toxin-antitoxin_module_cotranscribed_with_DinB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0048276624352e-05	0.0216729568165691	0	0	0	0	0.078231285245132	5.02413831217601e-05	0	0	3.92844857388231e-05	0	0	0	0
