	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
(GlcNAc)2_Catabolic_Operon	0.00296696901780444	0.00190901416827491	0.00198630763152319	0.000309989434915568	0.000477506487184673	0.00212836718807109	0.00252212076301879	0.0157154194459931	0.00626539548872684	0.0213636260065441	0.00246399602440251	0.00404259284056907	0.00293490302209013	0.00343660850220508	0.000252437628342223	0.0165919247336689	0.0126859358750285	0.0142060716508208	0.0013731779565384	0.00257229434289995	0.0160364941338146	0.0178590545053463	0.0189267712754908	0.00299389924111169	0.0165360586862926	0.0181205833624786	0.00267862706730932	0.00261515761855888	0	0.00300871604101743
2-Ketogluconate_Utilization	0.00296696901780444	0.00190901416827491	0.00198630763152319	0.000309989434915568	0.000477506487184673	0.00212836718807109	0.00252212076301879	0.0157154194459931	0.00626539548872684	0.0157587079687345	0.00246399602440251	0.00404259284056907	0.00293490302209013	0.00343660850220508	0.000252437628342223	0.0165919247336689	0.0129453477296112	0.0142060716508208	0.0013731779565384	0.00257229434289995	0.0160364941338146	0.0178590545053463	0.0189267712754908	0.00299389924111169	0.015297559554955	0.0181205833624786	0.00267862706730932	0.00261515761855888	0	0.00300871604101743
2-phosphoglycolate_salvage	0.00296696901780444	0.00190901416827491	0.00198630763152319	0.000309989434915568	0.000477506487184673	0.00212836718807109	0.00252212076301879	0.0157154194459931	0.00626539548872684	0.0157587079687345	0.00246399602440251	0.00404259284056907	0.00293490302209013	0.00343660850220508	0.000252437628342223	0.0165919247336689	0.0131208322194761	0.0142060716508208	0.0013731779565384	0.00257229434289995	0.0160364941338146	0.0178590545053463	0.0189267712754908	0.00299389924111169	0.015297559554955	0.0181205833624786	0.00267862706730932	0.00261515761855888	0	0.00300871604101743
4-Hydroxyphenylacetic_acid_catabolic_pathway	0.00296696901780444	0.00190901416827491	0.00353711704021892	0.00157228150563565	0.000477506487184673	0.00212836718807109	0.00252212076301879	0.0157154194459931	0.00626539548872684	0.0157587079687345	0.00246399602440251	0.00404259284056907	0.00293490302209013	0.00489821194633793	0.000252437628342223	0.0165919247336689	0.0192170108021718	0.0142060716508208	0.00165972150095873	0.00398769337654698	0.0160364941338146	0.0178590545053463	0.0189267712754908	0.00299389924111169	0.015297559554955	0.0227581991941488	0.00267862706730932	0.00262389633951428	0	0.00300871604101743
5-FCL-like_protein	0.27571998475787	0.26875642390127	0.258093794370976	0.243854018635058	0.245120434556164	0.271767109712907	0.310095150408699	0.0157154194459931	0.295155963191854	0.0157587079687345	0.258255682672944	0.00404259284056907	0.00293490302209013	0.266276627273802	0.286091984572022	0.0165919247336689	0.0126859358750285	0.0142060716508208	0.251360459096737	0.256150425462139	0.0160364941338146	0.0178590545053463	0.0189267712754908	0.325698023542704	0.015297559554955	0.0181205833624786	0.236121991745398	0.26648433235506	0.26306005156276	0.235923562437479
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	0.00959338655865478	0.0127852661840204	0.013821364330582	0.00742633472249865	0.0111144557453171	0.0119897574677131	0.00508323038100963	0.0158513810375828	0.0130551554873999	0.0161766847855703	0.00524918425010526	0.0090010833513936	0.00694349047343811	0.00817503257108737	0.0057736559627193	0.0166389144633645	0.0133039464697698	0.0142060716508208	0.00977496932833754	0.0102893504900675	0.0160729427357807	0.0179301825372786	0.0189267712754908	0.00926666552318942	0.015297559554955	0.0181205833624786	0.00560432463960954	0.00608617758204135	0.00567736547388322	0.0060869769949513
A_Gammaproteobacteria_Cluster_Relating_to_Translation	0.0667921632183879	0.0659955539625322	0.0648487852811023	0.0627789160458566	0.0677930652781833	0.0667490254292222	0.0732722254642381	0.118044645329441	0.0780004411783344	0.118077418384022	0.0841442827235121	0.0806720355217393	0.0695157963584543	0.0699224203018141	0.0652980738508991	0.0165919247336689	0.0672412661951814	0.10263103388898	0.0618474609608985	0.0669541618910923	0.0160364941338146	0.0178590545053463	0.0189267712754908	0.065289699228963	0.015297559554955	0.0181205833624786	0.074605407673588	0.072587844052589	0.0583686882307211	0.0751427565000411
A_Glutathione-dependent_Thiol_Reductase_Associated_with_a_Step_in_Lysine_Biosynthesis	0.00296696901780444	0.00190901416827491	0.00198630763152319	0.000309989434915568	0.000477506487184673	0.00212836718807109	0.00252212076301879	0.0157154194459931	0.00626539548872684	0.0159450349834685	0.00246399602440251	0.00404259284056907	0.00293490302209013	0.00343660850220508	0.000252437628342223	0.0165919247336689	0.0128893961531326	0.0142060716508208	0.0013731779565384	0.00257229434289995	0.0160364941338146	0.0179047796687313	0.0189267712754908	0.00299389924111169	0.015297559554955	0.0181205833624786	0.00267862706730932	0.00261515761855888	0	0.00300871604101743
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	0.00296696901780444	0.00190901416827491	0.081089170283867	0.000309989434915568	0.0811793028385638	0.00212836718807109	0.0221948359897331	0.0157154194459931	0.00626539548872684	0.0157587079687345	0.00334175231371489	0.0252991526424943	0.00293490302209013	0.00343660850220508	0.000252437628342223	0.0165919247336689	0.0126859358750285	0.0142060716508208	0.0013731779565384	0.00257229434289995	0.0160364941338146	0.0178590545053463	0.0189267712754908	0.00299389924111169	0.015297559554955	0.0181205833624786	0.00267862706730932	0.0229676387236713	0.0772229629609646	0.00300871604101743
A_toxin-antitoxin_module_cotranscribed_with_DinB	0.00296696901780444	0.00190901416827491	0.00198630763152319	0.000309989434915568	0.000477506487184673	0.00212836718807109	0.00252212076301879	0.0157154194459931	0.00626539548872684	0.0157587079687345	0.00246399602440251	0.00404259284056907	0.00293490302209013	0.00343660850220508	0.000252437628342223	0.0165919247336689	0.0131055726986183	0.0142060716508208	0.0013731779565384	0.00257229434289995	0.0160364941338146	0.0179301825372786	0.0189267712754908	0.00299389924111169	0.015297559554955	0.0181205833624786	0.00267862706730932	0.00261515761855888	0	0.00300871604101743
