	p	BH_p	bonferroni_p	F_stat	mgm4472467.3	mgm4472473.3	mgm4472682.3	mgm4473326.3	mgm4472586.3	mgm4472464.3	mgm4472337.3	mgm4472580.3	mgm4472934.3	mgm4472361.3	mgm4478571.3	mgm4473472.3	mgm4472444.3	sd	mean	mgm4472397.3	mgm4473666.3	median	mgm4472751.3	mgm4472312.3	mgm4472462.3	mgm4472428.3	mgm4472353.3	mgm4472419.3	mgm4472253.3	mgm4472495.3	mgm4478487.3	mgm4472255.3	mgm4472484.3	mgm4472305.3	mgm4472304.3	mgm4472167.3	mgm4472160.3
21	3.50772801241921e-19	1.26612277781608e-17	2.65885783341377e-16	0.000166417551157127	0	0	0	0	0	0	0	0	0	0	0.148866075519933	0.150361360548593	0.128914471304194	0.127627536970159	0.157362242177221	0.148460901512167	0.166610124526694	0.160775297248193	0.154940469969692	0.174970858020275	0.175626854032848	0.350232733879461	0.234230772322756	0.279635986526356	0.286429082489891	0.255486329396821	0.257312828098496	0.260716611330402	0.336217250444164	0.332343979869926	0.2939408799672	0.297466858534781	0.288102837021971
97	8.9713120633896e-16	7.01057169489621e-15	6.80025454404931e-13	8.34930375732857e-05	0	0	0	0	0	0	0	0	0	0	0.151440216735937	0.153654203278372	0	0.125532346571908	0.152224732228752	0.224403694801071	0.175459639362976	0.202933491972892	0.202004968205095	0.203862015740689	0.206584077626195	0.383407159681971	0.240443440441833	0.307641228063124	0.239980384432957	0.251322040983672	0.231714513107862	0.242630093817077	0.284187762780265	0.28483250395929	0.250146714794479	0.258206783448963	0.274820525600727
108	2.0178130618433e-15	1.41620583414557e-14	1.52950230087722e-12	7.73625729206793e-05	0.133664011061894	0	0	0	0	0	0	0	0	0	0.138670804157857	0.141323729208705	0.1439252035919	0.115861348116017	0.155170175762984	0.199610904325876	0.1810243506363	0.195820437169892	0.192029970013908	0.215242260292143	0.220255484721563	0.415079869122364	0.232632585958791	0.304615285671793	0.211523341720864	0.233222660803434	0.213391644090007	0.228371827543793	0.259849989147125	0.265049722246786	0.232994348465725	0.239745640761791	0.252881639346898
54	1.29737566695752e-17	1.82113102880334e-16	9.83410755553799e-15	0.000122270710170705	0	0	0	0	0	0	0	0	0	0	0.152546406090473	0.153935574117099	0.133953421067441	0.106592003503153	0.136330924263009	0.161617801931008	0.164113159312169	0.168652876815847	0.173192594319525	0.197138056611813	0.184907268210723	0.361145098921948	0.221815083084789	0.290726821072264	0.182741516669212	0.21122750038186	0.193351609039239	0.196557628767355	0.229416919230491	0.245009687196019	0.203833074740134	0.21090593370903	0.221792573417691
40	3.35569598052092e-18	6.35904388308715e-17	2.54361755323486e-15	0.000137439597441315	0	0	0	0	0	0	0	0	0	0	0.1584921738711	0.151298727399892	0.177614136070938	0.13964607070537	0.17842116123085	0.232102000948622	0.203604762402425	0.232425175454816	0.233610148644195	0.23274834996101	0.256021737907083	0.428904020387327	0.291615952922639	0.368621524065246	0.280756646381169	0.298936418229615	0.250172440128305	0.268252526308173	0.327129776269987	0.323933403542057	0.278307916167568	0.297339839699014	0.293172335619136
71	4.20451481819313e-17	4.4887637073104e-16	3.18702223219038e-14	0.000110261314224898	0	0	0	0	0	0	0	0	0	0	0.182743124502577	0.185002130379207	0.164367196983705	0.141329180049459	0.178526045560639	0.205317104935245	0.206717527795419	0.207229622721901	0.207741717648383	0.262510953364793	0.257766237107186	0.494053428302691	0.300761309097925	0.339949031682356	0.242993464157375	0.298770811393107	0.25819392078205	0.271058195528615	0.312202651317217	0.319579390791938	0.269624008167793	0.274759427932889	0.30166973494867
20	3.12882361356552e-19	1.18582414954133e-17	2.37164829908267e-16	0.000168017251133304	0	0	0	0	0	0	0	0	0	0	0.153774790780683	0.155717053484577	0.170735824939103	0.141060788899837	0.177791533685448	0.194748816232686	0.17097860777709	0.208657378749266	0.224609497471682	0.234647201164071	0.222565941265847	0.398015933628639	0.273693434412457	0.311659203640135	0.287372880674647	0.307252132388999	0.272302658552468	0.275439541445925	0.374380783175632	0.365692051675764	0.307755384231978	0.310760424789575	0.321643848831507
159	6.48063515536003e-14	3.08951034450497e-13	4.91232144776291e-11	5.49111699063943e-05	0.140325264689568	0.182257558826603	0	0	0	0	0	0	0	0	0.186582630576167	0.178313543584343	0.157469591851501	0.132939502185627	0.188744094562039	0.277031296476433	0.2221061009237	0.233978342484585	0.21916537370067	0.269095030990988	0.267475942793289	0.492897396113867	0.258457605453771	0.401688225032358	0.249505189282183	0.258168195448224	0.24585058404547	0.255930091405327	0.290654468570877	0.299129358233313	0.261562331679945	0.270455258017059	0.278201799165535
176	2.11489379970472e-13	9.10846306918285e-13	1.60308950017618e-10	4.84842084835599e-05	0	0	0	0	0	0	0	0	0	0	0.170993078277367	0.173303534821651	0.153453224107853	0.160724018716923	0.181905872075419	0.236185897693563	0.229981268741308	0.210336760698121	0.294447347476907	0.377268451897645	0.346193856468716	0.682417538246336	0.272982772065503	0.389332025628864	0.255500799897099	0.208518301163267	0.233111720301308	0.223011311107717	0.206826860464182	0.275769147285575	0.212155220232975	0.257685845438979	0.258037960945728
139	2.06974380222341e-14	1.12348238197381e-13	1.56886580208535e-11	6.167067704743e-05	0	0	0	0	0	0	0	0	0	0	0.220541679060382	0.221863318085714	0.198678360974669	0.178111980085739	0.203489266372434	0.120404209307747	0.186183887901858	0.218082497929915	0.312117436148918	0.215623316799447	0.260842022332805	0.474103431920316	0	0.29714850752868	0.397636484954699	0.405399104436816	0.340767418864709	0.335643253933162	0.463007773874316	0.433688932479038	0.402347436711659	0.407884814817792	0.410796601040268
199	1.00943981280795e-12	3.84500190004232e-12	7.65155378108423e-10	4.08106708755172e-05	0	0	0	0	0	0	0	0	0	0	0.319462018956355	0.335197884091293	0.212407650071147	0.190015908791774	0.193600072888445	0.168052351054337	0.199692903827447	0.187044078751678	0	0.174395253675909	0.24835719626018	0.467606177295785	0	0	0.363026263958003	0.347259849989147	0.386169417401581	0.337739868640014	0.452402505004381	0.448328255259625	0.505258419017453	0.393449686874452	0.449196485276266
88	1.85823789802587e-16	1.60061855307228e-15	1.40854432670361e-13	9.65056136866791e-05	0	0	0	0	0	0	0	0	0	0	0.199028868648053	0.203468096566472	0.19719111511283	0.160140230271455	0.184027622577196	0.243644636669856	0.242745857819296	0.223106977192884	0.313574133176838	0.338101631146948	0.318556808772339	0	0.330078542659839	0	0.319957231632514	0.325501041072103	0.337032421959788	0.309901841773119	0.384342918699906	0.394785796400061	0.341798040051129	0.354676785297972	0.366442909856822
125	9.09682793683644e-15	5.51631646089762e-14	6.89539557612202e-12	6.69056699552566e-05	0.287035235668175	0	0	0	0	0	0	0	0	0	0.237968984894406	0.241567315963374	0.221792573417691	0.180374749534005	0.245313085351834	0.291570933588443	0.28556889164007	0.289303084628309	0.27549581561367	0.342531212065182	0.330036738992371	0.639366192087852	0.390264568980071	0.46288557853864	0.319563312458297	0.377175197562525	0.347057262985264	0.358447154536904	0.409585902517063	0.419387254704922	0.351290688233072	0.365389779003304	0.405411967103729
