	mgm4472467.3	mgm4472473.3	mgm4472580.3	mgm4472586.3	mgm4472464.3	mgm4472361.3	mgm4472337.3	mgm4472934.3	mgm4473326.3	mgm4472682.3	mgm4472444.3	mgm4478571.3	mgm4473472.3	mgm4473666.3	mgm4472397.3	mgm4472751.3	mgm4472312.3	mgm4472462.3	mgm4472428.3	mgm4472353.3	mgm4472419.3	mgm4472160.3	mgm4472484.3	mgm4472305.3	mgm4472495.3	mgm4478487.3	mgm4472255.3	mgm4472253.3	mgm4472304.3	mgm4472167.3
Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes	0	0	0	0	0	0	0	0	0	0	0.164367196983705	0.182743124502577	0.185002130379207	0.206717527795419	0.205317104935245	0.207741717648383	0.262510953364793	0.257766237107186	0.494053428302691	0.300761309097925	0.339949031682356	0.30166973494867	0.312202651317217	0.319579390791938	0.298770811393107	0.25819392078205	0.271058195528615	0.242993464157375	0.269624008167793	0.274759427932889
Branched-Chain_Amino_Acid_Biosynthesis	0	0	0	0	0	0	0	0	0	0	0.177614136070938	0.1584921738711	0.151298727399892	0.203604762402425	0.232102000948622	0.233610148644195	0.23274834996101	0.256021737907083	0.428904020387327	0.291615952922639	0.368621524065246	0.293172335619136	0.327129776269987	0.323933403542057	0.298936418229615	0.250172440128305	0.268252526308173	0.280756646381169	0.278307916167568	0.297339839699014
Purine_conversions	0	0	0	0	0	0	0	0	0	0	0.170735824939103	0.153774790780683	0.155717053484577	0.17097860777709	0.194748816232686	0.224609497471682	0.234647201164071	0.222565941265847	0.398015933628639	0.273693434412457	0.311659203640135	0.321643848831507	0.374380783175632	0.365692051675764	0.307252132388999	0.272302658552468	0.275439541445925	0.287372880674647	0.307755384231978	0.310760424789575
Heat_shock_dnaK_gene_cluster_extended	0	0	0	0	0	0	0	0	0	0	0.128914471304194	0.148866075519933	0.150361360548593	0.166610124526694	0.148460901512167	0.154940469969692	0.174970858020275	0.175626854032848	0.350232733879461	0.234230772322756	0.279635986526356	0.288102837021971	0.336217250444164	0.332343979869926	0.255486329396821	0.257312828098496	0.260716611330402	0.286429082489891	0.2939408799672	0.297466858534781
Cell_division-ribosomal_stress_proteins_cluster	0	0	0	0	0	0	0	0	0	0	0	0.151440216735937	0.153654203278372	0.175459639362976	0.224403694801071	0.202004968205095	0.203862015740689	0.206584077626195	0.383407159681971	0.240443440441833	0.307641228063124	0.274820525600727	0.284187762780265	0.28483250395929	0.251322040983672	0.231714513107862	0.242630093817077	0.239980384432957	0.250146714794479	0.258206783448963
Calvin-Benson_cycle	0.133664011061894	0	0	0	0	0	0	0	0	0	0.1439252035919	0.138670804157857	0.141323729208705	0.1810243506363	0.199610904325876	0.192029970013908	0.215242260292143	0.220255484721563	0.415079869122364	0.232632585958791	0.304615285671793	0.252881639346898	0.259849989147125	0.265049722246786	0.233222660803434	0.213391644090007	0.228371827543793	0.211523341720864	0.232994348465725	0.239745640761791
Proteolysis_in_bacteria,_ATP-dependent	0.140325264689568	0.182257558826603	0	0	0	0	0	0	0	0	0.157469591851501	0.186582630576167	0.178313543584343	0.2221061009237	0.277031296476433	0.21916537370067	0.269095030990988	0.267475942793289	0.492897396113867	0.258457605453771	0.401688225032358	0.278201799165535	0.290654468570877	0.299129358233313	0.258168195448224	0.24585058404547	0.255930091405327	0.249505189282183	0.261562331679945	0.270455258017059
TCA_Cycle	0	0	0	0	0	0	0	0	0	0	0.153453224107853	0.170993078277367	0.173303534821651	0.229981268741308	0.236185897693563	0.294447347476907	0.377268451897645	0.346193856468716	0.682417538246336	0.272982772065503	0.389332025628864	0.258037960945728	0.206826860464182	0.275769147285575	0.208518301163267	0.233111720301308	0.223011311107717	0.255500799897099	0.212155220232975	0.257685845438979
Glycolysis_and_Gluconeogenesis	0.287035235668175	0	0	0	0	0	0	0	0	0	0.221792573417691	0.237968984894406	0.241567315963374	0.28556889164007	0.291570933588443	0.27549581561367	0.342531212065182	0.330036738992371	0.639366192087852	0.390264568980071	0.46288557853864	0.405411967103729	0.409585902517063	0.419387254704922	0.377175197562525	0.347057262985264	0.358447154536904	0.319563312458297	0.351290688233072	0.365389779003304
De_Novo_Purine_Biosynthesis	0	0	0	0	0	0	0	0	0	0	0.227046972851734	0.225818588161523	0.229744917236778	0.270693217354953	0.293585548793723	0.298532852055213	0.334262125073357	0.338201316815525	0.623485621950141	0.347557299161515	0.421197675072955	0.393827527715028	0.41087860054184	0.413891680266257	0.363328536630464	0.338095199813491	0.350150734377889	0.350679711554694	0.344097241761864	0.391017034994493
Methionine_Biosynthesis	0	0	0	0	0	0	0	0	0	0	0.198678360974669	0.220541679060382	0.221863318085714	0.186183887901858	0.120404209307747	0.312117436148918	0.215623316799447	0.260842022332805	0.474103431920316	0	0.29714850752868	0.410796601040268	0.463007773874316	0.433688932479038	0.405399104436816	0.340767418864709	0.335643253933162	0.397636484954699	0.402347436711659	0.407884814817792
tRNA_modification_Bacteria	0	0	0	0	0	0	0	0	0	0	0.320391346640834	0.3429878367406	0.354456512127083	0.313722053846339	0.33336816972289	0.446107837383734	0.374427410343192	0.436732561037374	0.823710718621122	0.552348642586682	0.575618814866027	0.659277600469487	0.742523172898361	0.736363563280302	0.515260750375831	0.564415431984629	0.521034479986494	0.647680298413872	0.662810010370525	0.696328512512963
